Number of Topics,Gensim MEAN,Gensim STDV,Mallet MEAN,Mallet STDV,Sklearn MEAN,Sklearn STDV
5,169.83499399098483,3.8891373653786623,85.08658131686124,2.3218520536899505,50.36623787879944,2.217770602354308
10,173.97374001416293,6.032734120525912,87.64105450023304,2.6453937723625405,73.36250853538513,2.1023126615207546
15,175.02994483167475,2.7411481727046105,93.37714277614246,2.969986227490489,119.70219566605307,9.473485724840286
20,177.6491917263378,4.501736164601734,101.47850949114019,8.574463066743109,135.73012458194387,3.8277786577756525
25,179.00157208876178,2.2672715426885204,103.72674441337585,10.032610632494558,160.9118975726041,3.5021515822084
30,181.68118765137413,1.7102168392355699,120.83491455424915,6.776205640658565,187.5181575905193,5.951271663931174
35,187.38295455412432,3.516964081970791,114.75563250888477,11.86586091769473,214.63554898175326,5.923669104084899
40,192.0603467767889,2.2528873801134646,122.7043783014471,10.169668432797492,242.86320972442627,8.93103981799562
45,195.49851608276367,2.4375555399889084,109.85919932885604,6.421423448220293,266.7589651671323,6.434550753416108
50,200.02755518393084,4.904481309575587,118.3951021974737,6.899329892442902,294.15684593807566,7.300727426264149
55,205.72034885666588,7.3095485728005,122.95686346834356,6.535951888795396,319.85932660102844,6.3378603000448885
60,204.80120010809466,1.662248334952306,119.04579312151128,5.0818291488569285,348.1358064738187,4.810420100981033
65,210.77457477829674,5.317426244256521,122.43733644485474,5.577238980657171,374.49110783230174,8.668523512997025
70,212.18132682280108,1.264504263435241,121.38896684213118,4.807468300919111,407.30422338572413,10.777444857410634
75,220.60719938711688,7.156772179813295,122.37722880190069,4.720349987252978,437.3790032863617,13.093891423825609
80,227.32386472008446,3.4386995656252743,121.93036419695073,4.3619924460194435,470.465472091328,18.617901439585825
85,236.2936303182082,7.657229815581732,122.9920995018699,5.074700964975009,499.218638940291,15.446189295826986
90,244.1330867247148,4.181434142194357,124.44760016961531,4.031175147286424,542.3549211025238,30.64357976494313
95,259.9535867300901,3.484896426469998,123.51831329952587,4.270890084674473,580.828746210445,25.31558028489199
100,336.4444299394434,7.241946232869743,123.93569369749589,3.670993930824554,601.8046226067977,22.43785573481635
