Topic,1980 to 1984,1985 to 1989,1990 to 1994,1995 to 1999,2000 to 2004,2005 to 2009,2010 to 2014,2015 to 2019
1,1,9,16,12,13,13,22,25
2,13,21,33,39,33,20,5,4
3,7,25,25,6,5,15,7,7
4,3,7,8,12,5,6,22,17
5,4,15,17,12,11,10,10,1
6,1,2,11,0,16,11,19,31
7,2,5,8,10,11,15,18,13
8,0,3,0,2,3,7,7,12
9,3,6,9,10,20,34,22,26
10,2,3,17,18,35,30,22,13
11,6,5,16,23,13,12,16,11
12,17,21,25,10,19,11,16,21
13,8,19,36,26,32,20,20,17
14,1,7,9,10,23,31,32,15
15,4,16,50,29,40,45,47,42
16,22,23,30,22,15,14,6,8
17,5,12,22,25,24,21,20,18
18,4,6,7,7,17,28,41,38
19,48,94,80,28,12,17,15,6
20,8,22,22,8,11,6,8,3
21,21,27,30,22,14,3,16,7
22,9,33,59,36,9,0,5,10
23,14,14,26,15,13,14,19,21
24,13,12,34,32,23,18,5,9
25,18,13,27,57,37,39,91,69
26,0,21,31,22,23,11,33,11
27,0,1,7,2,3,3,0,6
28,30,19,30,10,11,4,9,4
29,10,8,25,22,20,15,12,32
30,15,49,53,33,33,23,8,10
31,10,11,16,11,5,6,10,5
32,7,15,33,21,11,11,15,11
33,3,2,8,6,4,7,14,14
34,8,15,10,7,1,7,9,7
35,4,6,6,23,26,8,3,2
36,0,0,0,3,5,12,14,23
37,22,38,35,27,14,21,8,9
38,33,40,33,31,17,9,9,15
39,19,18,14,8,5,9,10,7
40,33,47,53,25,12,21,9,8
