Topic,1980 to 1984,1985 to 1989,1990 to 1994,1995 to 1999,2000 to 2004,2005 to 2009,2010 to 2014,2015 to 2019
1,0,0,0,0,0,3,9,7
2,0,0,0,0,0,3,23,10
3,0,0,0,0,0,2,27,9
4,0,0,0,0,0,3,4,27
5,0,0,0,0,0,3,11,2
6,0,0,0,0,0,1,2,5
7,0,0,0,0,0,1,20,24
8,0,0,0,0,0,1,11,15
9,0,0,0,0,0,2,44,22
10,0,0,0,0,0,0,7,5
11,0,0,0,0,0,2,9,20
12,0,0,0,0,0,2,9,8
13,0,0,0,0,0,1,48,42
14,0,0,0,0,0,0,7,10
15,0,0,0,0,0,2,10,11
16,0,0,0,0,0,2,10,9
17,0,0,0,0,0,2,22,21
18,0,0,0,0,0,0,18,40
19,0,0,0,0,0,0,2,1
20,0,0,0,0,0,0,6,5
21,0,0,0,0,0,4,21,23
22,0,0,0,0,0,1,1,14
23,0,0,0,0,0,5,8,12
24,0,0,0,0,0,1,2,5
25,0,0,0,0,0,8,30,39
26,0,0,0,0,0,1,5,8
27,0,0,0,0,0,2,4,1
28,0,0,0,0,0,18,96,9
29,0,0,0,0,0,1,10,20
30,0,0,0,0,0,7,16,9
31,0,0,0,0,0,2,49,112
32,0,0,0,0,0,3,37,51
33,0,0,0,0,0,1,11,30
34,0,0,0,0,0,1,23,8
35,0,0,0,0,0,0,46,11
36,0,0,0,0,0,1,9,7
37,0,0,0,0,0,2,14,9
38,0,0,0,0,0,0,4,2
39,0,0,0,0,0,1,4,9
40,0,0,0,0,0,3,10,5
