Topic,1980 to 1984,1985 to 1989,1990 to 1994,1995 to 1999,2000 to 2004,2005 to 2009,2010 to 2014,2015 to 2019
1,0.0,0.0,0.0,0.0,0.0,2.745692159802243,13.099685396107805,14.172444048329918
2,0.0,0.0,0.0,0.0,0.0,2.40242032136939,15.750986273332588,7.794132570214856
3,0.0,0.0,0.0,0.0,0.0,2.72966638818868,18.96834487587785,7.407148556539655
4,0.0,0.0,0.0,0.0,0.0,3.347756141188474,13.733944500645194,25.2296198257186
5,0.0,0.0,0.0,0.0,0.0,2.2805183164596796,9.552771138352712,3.6152083632046
6,0.0,0.0,0.0,0.0,0.0,1.8318037366627358,12.77196119862906,14.184833945147787
7,0.0,0.0,0.0,0.0,0.0,1.7167217145953406,17.596118957762645,17.416522675160596
8,0.0,0.0,0.0,0.0,0.0,1.1010480171588126,11.008880666483533,10.499557130289551
9,0.0,0.0,0.0,0.0,0.0,2.0480907353576994,30.56324746201597,18.610097836773484
10,0.0,0.0,0.0,0.0,0.0,0.6172549634569832,7.6449648632182186,5.418044668075741
11,0.0,0.0,0.0,0.0,0.0,2.659581408880702,16.408226937494987,23.055531363050527
12,0.0,0.0,0.0,0.0,0.0,1.2042468144089344,9.848044330648696,6.178726253122394
13,0.0,0.0,0.0,0.0,0.0,1.847318070632127,42.5671498520338,35.30783942144637
14,0.0,0.0,0.0,0.0,0.0,1.3222072888370917,9.680294803064145,11.43867761809201
15,0.0,0.0,0.0,0.0,0.0,1.0968809514766484,7.948921879065152,8.22851324366952
16,0.0,0.0,0.0,0.0,0.0,1.3780843130108607,8.096945478695133,5.095979581553218
17,0.0,0.0,0.0,0.0,0.0,1.4815453710586055,19.599571724107523,24.3471007473203
18,0.0,0.0,0.0,0.0,0.0,1.0065634920147124,18.325362339738454,31.92475708107639
19,0.0,0.0,0.0,0.0,0.0,1.186828204620818,3.693628847755307,2.2143084716959778
20,0.0,0.0,0.0,0.0,0.0,1.7083480903935504,7.235118955002743,4.903031008817131
21,0.0,0.0,0.0,0.0,0.0,3.4208349285603146,20.21424573900347,15.133659182218985
22,0.0,0.0,0.0,0.0,0.0,1.0740433347105638,6.234731008058201,9.968294905553782
23,0.0,0.0,0.0,0.0,0.0,2.691892256458957,11.641621826322233,8.800032778873497
24,0.0,0.0,0.0,0.0,0.0,1.3106834166248933,7.1510246431166165,5.914460529221185
25,0.0,0.0,0.0,0.0,0.0,5.793132065122768,35.02562960227351,46.71013057780138
26,0.0,0.0,0.0,0.0,0.0,1.5615564695210027,8.83176891214817,9.479060338843453
27,0.0,0.0,0.0,0.0,0.0,1.4414342808281422,6.432954652900372,4.38389610491165
28,0.0,0.0,0.0,0.0,0.0,10.571934364885292,55.30860274307642,12.567589097797809
29,0.0,0.0,0.0,0.0,0.0,3.0669132218759394,16.16186132710706,27.219725673338704
30,0.0,0.0,0.0,0.0,0.0,3.4517921681193453,10.851494000859471,4.910416295204189
31,0.0,0.0,0.0,0.0,0.0,2.250756829570691,37.33133512062938,76.48294784794018
32,0.0,0.0,0.0,0.0,0.0,2.4154923936955366,23.68838181604601,42.942057465315685
33,0.0,0.0,0.0,0.0,0.0,1.1356400147528276,23.900751267001368,33.66041709434448
34,0.0,0.0,0.0,0.0,0.0,1.7545744569380317,18.717666425444587,9.860926193188433
35,0.0,0.0,0.0,0.0,0.0,0.9037857369469279,32.79130119115718,12.76724576653286
36,0.0,0.0,0.0,0.0,0.0,1.87521634051167,19.487222295861493,23.37776421278438
37,0.0,0.0,0.0,0.0,0.0,2.026002046190147,15.638262268840704,12.498408566051324
38,0.0,0.0,0.0,0.0,0.0,0.42026241849741697,3.784824788364216,3.521512088952433
39,0.0,0.0,0.0,0.0,0.0,0.9829140953553269,5.891462255110315,7.668597645596773
40,0.0,0.0,0.0,0.0,0.0,2.1454708988631754,9.203297536938221,6.593186229309783
