Topic Number,Contribution,Topic Keywords,Best Document,Document Tokens,Raw Text
1,0.7653,"score, ci, predict, risk, triage, model, rule, sensitivity, decision, criterion",17158,"['clinical', 'score', 'predict', 'need', 'hospitalization', 'scorpion_envenomation', 'objective', 'predict', 'complication', 'clinical', 'challenge', 'assessment', 'victim', 'scorpion_envenomation', 'seek', 'develop', 'clinical', 'score', 'predict', 'need', 'hospitalization', 'scorpion', 'sting', 'method', 'prospectively', 'collect', 'datum', 'patient', 'attend', 'emergency', 'department', 'derivation_validation', 'group', 'score', 'derive', 'multiple', 'regression', 'analysis', 'use', 'clinical', 'variable', 'dependent', 'variable', 'hospitalization', 'independent', 'variable', 'result', 'discrimination', 'power', 'construct', 'score', 'good', 'area_receiver_operate_characteristic', 'curve', 'derivation_validation', 'group', 'respectively', 'goodness_fit', 'test', 'indicate', 'score', 'perform', 'well', 'derivation_validation', 'group', 'respectively', 'score', 'good', 'sensitivity', 'negative_predictive_value', 'cutoff', 'value', 'conclusion', 'clinical', 'score', 'use', 'efficient', 'hospital', 'admission', 'decision', 'patient', 'victim']","A clinical score predicting the need for hospitalization in scorpion envenomation. OBJECTIVE: Predicting complications is a clinical challenge in the assessment of victims of scorpion envenomation (SE). We sought to develop a clinical score to predict need for hospitalization after scorpion sting.

METHODS: We prospectively collected data in patients attending the emergency department after SE in derivation (n = 868) and validation groups (n = 435). A score was derived from a multiple regression analyses using clinical variables as dependent variables and hospitalization as independent variable.

RESULTS: Discrimination power of the constructed score was good (area under the receiver operating characteristic curve, 0.85 and 0.83 in derivation and validation group, respectively). Goodness-of-fit tests indicated that the score performed well in the derivation and the validation groups (P = .88 and P = .67 respectively). The score has a good sensitivity and negative predictive value at cutoff value of 2.

CONCLUSION: Our clinical score could be used for efficient hospital admission decision in patient's victims of SE."
2,0.9665,"injury, fracture, trauma, chest, abdominal, radiographs, cervical_spine, radiography, blunt, radiograph",5960,"['anteroposterior', 'cervical_spine', 'radiograph', 'necessary', 'initial', 'trauma', 'screening', 'usefulness', 'anteroposterior', 'ap', 'radiograph', 'cervical_spine', 'contribute', 'diagnosis', 'cervical_spine', 'injury', 'acute', 'trauma', 'patient', 'examine', 'retrospective', 'study', 'case', 'cervical_spine', 'fracture', 'dislocation', 'see', 'level', 'trauma', 'center', 'year', 'period', 'rehabilitation', 'center', 'year', 'period', 'review', 'lateral', 'radiograph', 'open', 'mouth', 'odontoid', 'radiograph', 'radiograph', 'case', 'sequentially', 'examine', 'neuroradiologist', 'blind', 'original', 'diagnosis', 'determine', 'contribution', 'view', 'make', 'diagnosis', 'cervical_spine', 'injury', 'result', 'review', 'show', 'case', 'cervical_spine', 'injury', 'evident', 'ap', 'view', 'obvious', 'corresponding', 'abnormality', 'lateral', 'open', 'mouth', 'view', 'conclude', 'ap', 'view', 'drop', 'initial', 'screen', 'radiographic', 'study', 'cervical_spine', 'trauma', 'patient', 'adequate', 'lateral', 'view', 'open', 'mouth', 'odontoid', 'view', 'necessary', 'initially', 'evaluate', 'cervical_spine', 'trauma', 'patient', 'decision', 'obtain', 'study', 'base', 'safely', 'lateral', 'open', 'mouth', 'view']","Is the anteroposterior cervical spine radiograph necessary in initial trauma screening?. The usefulness of the anteroposterior (AP) radiograph of the cervical spine in contributing to the diagnosis of cervical spine injuries in the acute trauma patient was examined in a retrospective study. All cases of cervical spine fracture or dislocation seen at a level I trauma center over a 3-year period and at a rehabilitation center over a 10-year period were reviewed. The lateral radiograph, open-mouth odontoid radiograph, and AP radiograph of each case were sequentially examined by a neuroradiologist (blinded to the original diagnosis) to determine the contribution of each view in making a diagnosis of cervical spine injury.
Results of these reviews showed that there were no cases of cervical spine injury evident on the AP view without an obvious corresponding abnormality on the lateral or open-mouth view. It was concluded that the AP view could be dropped from the initial screening radiographic study of the cervical spine in the trauma patient. Only an adequate lateral view and open-mouth odontoid view would then be necessary to initially evaluate the cervical spine in the trauma patient, and decisions to obtain further studies could be based safely on only the lateral and open-mouth views."
3,0.9755,"measure, measurement, agreement, estimate, assessment, correlation, kappa, assess, weight, accuracy",6250,"['introduction', 'biostatistic', 'part', 'statistical', 'inference', 'technique', 'hypothesis', 'test', 'statistical', 'method', 'use', 'test', 'null_hypothesis', 'term', 'test', 'significance', 'selection', 'appropriate', 'test', 'significance', 'dependent', 'type', 'datum', 'analyze', 'number', 'group', 'compare', 'parametric', 'test', 'significance', 'base', 'parameter', 'mean', 'standard_deviation', 'variance', 'thus', 'use', 'appropriately', 'interval', 'ratio', 'datum', 'analyze', 'test', 'analysis', 'variance_anova', 'example', 'parametric', 'test', 'significance', 'assumption', 'regard', 'datum', 'analyze', 'use', 'test', 'anova', 'include', 'normality', 'population', 'sample', 'datum', 'draw', 'homogeneity', 'variance', 'population', 'sample', 'datum', 'draw', 'independence', 'datum', 'point', 'sample', 'group', 'test', 'appropriate', 'test', 'significance', 'use', 'group', 'compare', 'group', 'compare', 'anova', 'appropriate', 'test', 'anova', 'hold', 'preset', 'alpha', 'level', 'constant', 'anova', 'imply', 'significant', 'difference', 'group', 'compare', 'multiple', 'comparison', 'test', 'define', 'group', 'differ', 'significantly']","Introduction to biostatistics: Part 4, statistical inference techniques in hypothesis testing. Statistical methods used to test the null hypothesis are termed tests of significance. Selection of an appropriate test of significance is dependent on the type of data to be analyzed and the number of groups to be compared. Parametric tests of significance are based on the parameters, mean, standard deviation, and variance, and thus are used appropriately when interval or ratio data are analyzed. The t-test and analysis of variance (ANOVA) are examples of parametric tests of significance. Assumptions regarding the data to be analyzed when using the t-test or ANOVA include normality of the populations from which the sample data are drawn, homogeneity of the variances of the populations from which the sample data are drawn, and independence of the data points within a sample group. The t-test is the appropriate test of significance to use if there are only two groups to compare. If there are three or more groups to compare, ANOVA is the appropriate test. ANOVA holds the preset alpha level constant. While ANOVA will imply a significant difference between the groups compared, a multiple comparison test will define which of the three or more groups differ significantly."
4,0.9728,"diagnosis, case, symptom, acute, disease, presentation, common, pain, review, treatment",12550,"['reversible', 'cerebral', 'vasoconstriction', 'syndrome', 'present', 'subarachnoid_hemorrhage', 'rare', 'cause', 'postpartum', 'seizure', 'reversible', 'cerebral', 'vasoconstriction', 'syndrome', 'rcvs', 'rare', 'cerebrovascular', 'disorder', 'affect', 'large', 'medium', 'sized', 'artery', 'occur', 'commonly', 'young', 'woman', 'thunderclap', 'headache', 'usual', 'primary', 'symptom', 'seizure', 'uncommon', 'postpartum', 'period', 'seizure', 'significant', 'concern', 'main', 'cause', 'postpartum', 'seizure', 'posterior', 'reversible', 'encephalopathy', 'syndrome', 'cortical', 'venous_thrombosis', 'rcvs', 'related', 'postpartum', 'seizure', 'rare', 'rarity', 'course', 'fulminant', 'result', 'permanent', 'disability', 'death', 'diagnosis', 'delay', 'treatment', 'start', 'promptly', 'report', 'unusual', 'case', 'rcvs', 'present', 'subarachnoid_hemorrhage', 'year', 'old', 'woman', 'admit', 'postpartum', 'seizure', 'inc_right_reserve']","Reversible cerebral vasoconstriction syndrome presenting as subarachnoid hemorrhage: A rare cause of postpartum seizure. Reversible cerebral vasoconstriction syndrome (RCVS) is a rare cerebrovascular disorder affecting large- and medium-sized arteries, occurring most commonly in young women. Thunderclap headache is the usual primary symptom; seizure is uncommon. During the postpartum period, seizure is a significant concern. The main causes of postpartum seizures are posterior reversible encephalopathy syndrome and cortical venous thrombosis; RCVS-related postpartum seizure is rare. Despite its rarity, its course may be fulminant, resulting in permanent disability or death if the diagnosis is delayed and treatment is not started promptly. We report an unusual case of RCVS presenting as a subarachnoid hemorrhage in a 31-year-old woman admitted for postpartum seizure.
Copyright © 2016 Elsevier Inc. All rights reserved."
5,0.9849,"chest, pain, acute, cardiac, ecg, myocardial_infarction, risk, troponin, acs, stemi",20508,"['delta', 'ck_mb', 'outperform', 'delta', 'troponin', 'hour', 'rule', 'acute', 'myocardial_infarction', 'show', 'rise', 'creatine_kinase_mb', 'bank', 'ck_mb', 'ng_ml', 'hour', 'sensitive', 'equally', 'specific', 'detection', 'acute', 'myocardial_infarction', 'compare', 'hour', 'ck_mb', 'ng_ml', 'emergency', 'department', 'evaluation', 'chest', 'pain', 'cardiac', 'specific', 'troponin_ctni', 'think', 'similar', 'early', 'release', 'kinetic', 'compare', 'ck_mb_mass', 'undertake', 'retrospective', 'cohort', 'study', 'ch', 'pain', 'patient', 'baseline', 'ck_mb', 'ctni', 'less', 'time', 'hospital', 'upper', 'limit', 'normal', 'undergo', 'hour', 'ck', 'compare', 'sensitivity_specificity', 'hour', 'delta', 'ck_mb', 'deltack_mb', 'delta', 'ctni', 'delta', 'ctni', 'ami', 'day', 'adverse', 'outcome', 'day', 'define', 'ami', 'life_threaten', 'complication', 'death', 'percutaneous_transluminal_coronary', 'angioplasty', 'ptca', 'coronary_artery_bypass_graft', 'cabg', 'day', 'presentation', 'optimum', 'delta', 'value', 'determine', 'choose', 'small', 'cutoff', 'value', 'great', 'assay', 'precision', 'deltack_mb', 'delta', 'ctni', 'positive', 'likelihood_ratio', 'day', 'deltack_mb', 'ng_ml', 'sensitive', 'deltatni', 'ng_ml', 'ami', 'day', 'difference', 'specificity', 'ami', 'day', 'combine', 'test', 'mbdelta', 'ng_ml', 'deltatni', 'ng_ml', 'result', 'incremental', 'increase', 'sensitivity', 'ao', 'patient', 'rise', 'ck_mb', 'ng_ml', 'rise', 'ctni', 'ng_ml', 'hour', 'receive', 'consideration', 'aggressive', 'antiischemic', 'therapy', 'diagnostic', 'testing', 'make', 'exclusionary', 'diagnosis', 'nonischemic', 'chest', 'pain']","Delta CK-MB outperforms delta troponin I at 2 hours during the ED rule out of acute myocardial infarction. It has been shown that a rise in creatine kinase MB bank (CK-MB) of > or = + 1.6 ng/mL in 2 hours is more sensitive and equally specific for detection of acute myocardial infarction (AMI) as compared with a 2-hour CK-MB > or = 6 ng/mL during the emergency department (ED) evaluation of chest pain. Because cardiac specific troponin I (cTnI) is thought to have similar early release kinetics as compared with CK-MB mass, we undertook a retrospective cohort study in 578 chest pain patients whose baseline CK-MB and cTnI was less than two times the hospital's upper limits of normal and who underwent a 2-hour CK-MB and cTnI to compare sensitivities and specificities of the 2-hour delta CK-MB (deltaCK-MB) and delta cTnI (delta cTnI) for AMI and 30-day Adverse Outcome (AO). Thirty day AO was defined as AMI, life-threatening complication, death, or percutaneous transluminal coronary angioplasty (PTCA)/coronary artery bypass graft (CABG) within 30 days of ED presentation. Optimum delta values were determined by choosing the smallest cutoff value greater than the assay precision where the deltaCK-MB and delta cTnI had a positive likelihood ratio for 30-day AO of > or = 15. A deltaCK-MB > or = +1.5 ng/mL was more sensitive than a deltaTnI > or = +0.2 ng/mL for AMI (87.7% versus 61.4%; P < .0005) and 30-day AO (56.7% versus 42.3%; P < .005). There were no differences in specificities for AMI and 30-day AO. Combining the two tests (MBdelta > or = +1.5 ng/mL and/or a deltaTnI > or = +0.2 ng/mL) resulted in an incremental increase in sensitivity of 89.5% for AMI and 61.9% for AO (P < .005). Patients with either a rise in CK-MB of > or = +1.5 ng/mL or rise in cTnI of > or = +0.2 ng/mL in 2 hours should receive consideration for aggressive antiischemic therapy and further diagnostic testing before making an exclusionary diagnosis of nonischemic chest pain."
6,0.8805,"intervention, control, follow, trial, month, randomize, outcome, receive, day, primary",15374,"['quitline', 'referral', 'self', 'help', 'manual', 'tobacco', 'use', 'cessation', 'emergency', 'department', 'feasibility', 'study', 'background', 'tobacco', 'use', 'counseling', 'intervention', 'deliver', 'primary', 'care', 'set', 'efficacious', 'limited', 'evidence', 'exist', 'regard', 'feasibility', 'efficacy', 'emergency', 'department', 'randomize', 'control', 'trial', 'evaluate', 'referral', 'outpatient', 'tobacco', 'use', 'counsel', 'single', 'subject', 'intervention', 'group', 'attend', 'schedule', 'clinic', 'appointment', 'telephone', 'counseling', 'potentially', 'afford', 'opportunity', 'provide', 'population', 'individual', 'counseling', 'conveniently', 'traditional', 'clinic', 'counseling', 'purpose', 'preliminary', 'study', 'evaluate', 'intervention', 'completion', 'rate', 'cigarette', 'smoker', 'enrol', 'tobacco', 'quitline', 'ql', 'assess', 'feasibility', 'randomize', 'control', 'trial', 'assess', 'efficacy', 'intervention', 'method', 'conduct', 'prospective', 'randomize', 'control', 'blinded', 'pilot', 'study', 'enrol', 'cigarette', 'smoker', 'present', 'tertiary', 'care', 'patient', 'indicate', 'desire', 'quit_smoke', 'randomize', 'receive', 'proactive', 'telephone', 'counseling', 'ql', 'intervention', 'self', 'help', 'manual', 'control', 'result', 'smoker', 'indicate', 'interest', 'quitting', 'subject', 'randomize', 'ql', 'control', 'meet_inclusion_criterion', 'refuse', 'participate', 'total', 'patient', 'enrol', 'ql', 'complete', 'full', 'intervention', 'however', 'total', 'patient', 'reach', 'follow', 'month', 'arm', 'month', 'follow', 'total', 'subject', 'disconnect', 'phone', 'longer', 'live', 'provide', 'phone', 'number', 'provide', 'incorrect', 'number', 'decline', 'provide', 'follow', 'remainder', 'reach', 'assume', 'patient', 'unavailable', 'follow', 'still', 'smoke', 'day', 'point', 'prevalence', 'smoking', 'abstinence', 'rate', 'month', 'ci', 'ql', 'group', 'ci', 'control', 'group', 'conclusion', 'compliance', 'ql', 'intervention', 'encourage', 'hold_promise', 'provide', 'need', 'tobacco', 'use', 'counseling', 'patient', 'future', 'study', 'require', 'focus', 'effective', 'mechanism', 'obtain', 'outcome', 'measure', 'large', 'sample', 'size']","Quitline referral vs. self-help manual for tobacco use cessation in the Emergency Department: a feasibility study. BACKGROUND: Tobacco use counseling interventions delivered in the primary care setting are efficacious, but limited evidence exists regarding their feasibility or efficacy in the Emergency Department (ED). ED randomized controlled trials evaluating referral for outpatient tobacco use counseling have not had a single subject in the intervention groups attend scheduled clinic appointments. Telephone counseling potentially affords the opportunity to provide this population with individual counseling more conveniently than traditional clinic counseling. The purpose of this preliminary study was to evaluate the intervention completion rate among cigarette smokers enrolled through the ED in a tobacco quitline (QL) and to assess the feasibility of a randomized controlled trial assessing the efficacy of this intervention.

METHODS: We conducted a prospective, randomized, controlled, un-blinded pilot study enrolling cigarette smokers presenting to a tertiary-care ED. Patients indicating a desire to quit smoking were randomized to receive either proactive telephone counseling through a QL (intervention) or a self-help manual (control).

RESULTS: Of 212 smokers who indicated an interest in quitting, 20 subjects were randomized to the QL and 19 to control. Twenty-one did not meet inclusion criteria and 152 refused to participate. A total of 10 patients (50%) enrolled in the QL completed the full intervention. However, only a total of 20 patients (51%) were reached for follow-up at 3 or 6 months (10 in each arm). At 6-month follow-up a total of six subjects had either disconnected their phone, no longer lived at the provided phone number or had provided an incorrect number. Two declined to provide follow-up and the remainder could not be reached. Assuming all patients unavailable for follow-up were still smoking, the 7-day point prevalence smoking abstinence rate at 6 months was 20% (95% CI: 6 to 44%) for the QL group and 0% (95% CI: 0 to 15%) for the control group (p = 0.11).

CONCLUSION: Compliance with the QL intervention was encouraging and may hold promise for providing needed tobacco use counseling to ED patients. Future studies are required, and should focus on more effective mechanisms to obtain outcome measures and a larger sample size."
7,0.8319,"trauma, injury, center, score, head, level, severity, blunt, outcome, mortality",18266,"['trauma', 'elderly', 'community', 'base', 'study', 'outcome', 'trauma', 'non', 'trauma', 'center', 'publish_acad_emerg_med']",Trauma in the very elderly: A community-based study of outcomes at trauma and non-trauma centers. Published in: Acad Emerg Med. 2000; 7: 568.
8,0.9799,"wound, burn, laceration, skin, infection, eye, suture, day, foreign_body, anesthesia",19183,"['development', 'porcine', 'excisional', 'wound', 'model', 'objective', 'develop', 'porcine_model', 'cutaneous', 'tangential', 'excisional', 'wound', 'method', 'prospective', 'longitudinal', 'blinded', 'experiment', 'isoflurane', 'anesthetized_swine', 'standardized', 'excisional', 'wound', 'square', 'inch', 'create', 'electric', 'dermatome', 'set', 'depth', 'microm', 'full_thickness', 'wound', 'create', 'surgical', 'blade', 'depth', 'wound', 'treat', 'polyurethane', 'film', 'full_thickness', 'punch', 'biopsy', 'take', 'day', 'blind', 'histopathological', 'evaluation', 'main', 'outcome', 'percent', 'wound', 'reepithelialization', 'rep', 'calculate', 'divide', 'length', 'neoepidermis', 'cross', 'section', 'specimen', 'diameter', 'interobserver', 'correlation', 'analysis', 'variance', 'use', 'compare', 'percent', 'rep', 'wound', 'depth', 'study', 'power', 'detect', 'difference', 'rep', 'group', 'tailed_alpha', 'result', 'significant', 'difference', 'percent', 'rep', 'wound', 'depth', 'day', 'day', 'superficial', 'wound', 'microm', 'mostly', 'reepithelialize', 'day', 'wound', 'range', 'depth', 'micro', 'mostly', 'heal', 'day', 'full_thickness', 'wound', 'evidence', 'rep', 'even', 'day', 'conclusion', 'author', 'describe', 'excisional', 'wound', 'model', 'swine', 'rapid', 'reepithelialization', 'occur', 'day', 'wound', 'microm', 'deep']","Development of a porcine excisional wound model. OBJECTIVES: To develop a porcine model for cutaneous tangential excisional wounds.

METHODS: This was a prospective, longitudinal, blinded experiment on four isoflurane-anesthetized swine. Forty standardized excisional wounds (1 square inch each) were created with an electric dermatome set at a depth of 300, 600, 750, or 900 microm. Full-thickness wounds were created with a surgical blade (n = 8 for each depth). Wounds were treated with polyurethane film. Full-thickness punch biopsies were taken after one, two, three, four, five, and 14 days for blinded histopathological evaluation. The main outcome was the percent wound reepithelialization (REP) calculated by dividing the length of neoepidermis in cross-section by the specimen's diameter (interobserver correlation = 0.99). Analysis of variance was used to compare percent REP among wound depths. This study had 80% power to detect a 33% difference in REP across groups (two-tailed alpha = 0.05).

RESULTS: There were significant differences in percent REP across wound depths for days 2-5 (p < 0.001 for all days). The more superficial wounds (300 to 600 microm) were mostly reepithelialized by day 4, whereas wounds ranging in depth from 750 to 900 micro m were mostly healed by day 5. Full-thickness wounds had no evidence of REP even after 14 days.

CONCLUSIONS: The authors describe an excisional wound model in swine. Rapid reepithelialization occurs within three to five days in wounds <900 microm deep."
9,0.9463,"drug, exposure, case, overdose, poisoning, report, ingestion, poison, cocaine, toxicity",15492,"['iguana', 'bite', 'report', 'texas_poison', 'center', 'thousand', 'iguana', 'keep', 'pet', 'united_state', 'information', 'bite', 'limited', 'intent', 'investigation', 'describe', 'pattern', 'iguana', 'bite', 'report', 'texas_poison', 'center', 'iguana', 'bite', 'report', 'identify', 'distribution', 'case', 'various', 'factor', 'determine', 'total', 'bite', 'manage', 'site', 'patient', 'route', 'health', 'care', 'facility', 'poison', 'center', 'contact', 'refer', 'health', 'care', 'facility', 'medical', 'outcome', 'effect', 'case', 'minor', 'effect', 'moderate', 'effect', 'follow', 'minimal', 'effect', 'possible', 'unable', 'follow', 'potentially', 'toxic', 'iguana', 'bite', 'report', 'texas_poison', 'center', 'result', 'serious', 'effect', 'manage', 'site', 'inc_right_reserve']","Iguana bites reported to Texas poison centers. Although thousands of iguanas are kept as pets in the United States, information on their bites is limited. The intent of this investigation was to describe the pattern of iguana bites reported to Texas poison centers. Iguana bites reported during 1998-2008 were identified. The distribution of cases by various factors was determined. Of 59 total bites, 71% were managed on-site, 17% of the patients were at or en route to a health care facility when the poison center was contacted, and 10% were referred to a health care facility. The medical outcome was no effect in 9% of the cases, minor effect in 24%, moderate effect in 2%, not followed but minimal effects possible in 64%, and unable to follow but potentially toxic in 2%. Most iguana bites reported to Texas poison centers did not result in serious effects and were managed on-site.
Copyright © 2010 Elsevier Inc. All rights reserved."
10,0.9691,"intubation, airway, attempt, success, technique, perform, intubate, endotracheal_intubation, device, difficult",13502,"['tracheal_intubation', 'mcgrath', 'series', 'video_laryngoscope', 'novice', 'personnel', 'cervical', 'immobilize', 'manikin', 'background', 'prehospital', 'tracheal_intubation', 'perform', 'novice_intubator', 'cervical', 'immobilize', 'patient', 'however', 'indirect', 'laryngoscope', 'require', 'special', 'training', 'mcgrath', 'series', 'video_laryngoscope', 'similar', 'macintosh_laryngoscope', 'shape', 'usage', 'yet', 'still', 'confer', 'advantage', 'indirect', 'laryngoscope', 'objective', 'study', 'compare', 'tracheal_intubation', 'novice', 'user', 'use', 'mcgrath', 'series', 'video_laryngoscope', 'macintosh_laryngoscope', 'cervical', 'immobilize', 'manikin', 'method', 'nurse', 'intubate', 'trachea', 'manikin', 'use', 'mcgrath', 'series', 'video_laryngoscope', 'macintosh_laryngoscope', 'random', 'order', 'repeated', 'procedure', 'manikin', 'cervical_collar', 'success', 'rate', 'time', 'success', 'number', 'intubation', 'attempt', 'dental', 'click', 'difficulty', 'score', 'compare', 'laryngoscope', 'result', 'first', 'attempt', 'success', 'rate', 'high', 'mcgrath', 'series', 'compare', 'macintosh_laryngoscope', 'cervical_immobilization', 'respectively', 'however', 'overall', 'intubation', 'success', 'rate', 'cervical_collar', 'different', 'tracheal_intubation', 'use', 'mcgrath', 'series', 'faster', 'macintosh_laryngoscope', 'regardless', 'presence', 'cervical_collar', 'mcgrath', 'series', 'require', 'few', 'trial', 'few', 'dental', 'click', 'easy', 'use', 'macintosh_laryngoscope', 'conclusion', 'mcgrath', 'series', 'video_laryngoscope', 'better', 'standard', 'macintosh_laryngoscope', 'novice_intubator', 'intubate', 'trachea', 'cervical_immobilization', 'high', 'first', 'attempt', 'success', 'rate', 'fast', 'intubation', 'time', 'few', 'dental', 'click', 'low', 'number', 'intubation', 'attempt', 'overall', 'ease', 'use', 'inc_right_reserve']","Tracheal Intubation with a McGrath Series 5 Video Laryngoscope by Novice Personnel in a Cervical-immobilized Manikin. BACKGROUND: Prehospital tracheal intubation may be performed by novice intubators in cervical immobilized patients. However, most indirect laryngoscopes require special training. The McGrath Series 5 video laryngoscope is similar to the Macintosh laryngoscope in shape and usage, yet still confers the advantages of having indirect laryngoscopes.

OBJECTIVE: This study compared tracheal intubation by novice users, using the McGrath Series 5 video laryngoscope vs. the Macintosh laryngoscope in a cervical immobilized manikin.

METHODS: Thirty-eight nurses intubated the trachea of a manikin using a McGrath Series 5 video laryngoscope and a Macintosh laryngoscope, in random order. Then they repeated the procedure in a manikin with a cervical collar. Success rate, time to success, number of intubation attempts, dental clicks, and difficulty score were compared between the two laryngoscopes.

RESULTS: First-attempt success rate was higher for the McGrath Series 5 compared to the Macintosh laryngoscope in cervical immobilizations (84.2% vs. 47.7%, respectively; p = 0.019). However, overall intubation success rate with and without the cervical collar was no different. Tracheal intubation using the McGrath Series 5 was faster than the Macintosh laryngoscope regardless of the presence of a cervical collar. McGrath Series 5 required fewer trials, had fewer dental clicks, and was easier to use than the Macintosh laryngoscope.

CONCLUSIONS: McGrath Series 5 video laryngoscope may be better than a standard Macintosh laryngoscope for novice intubators intubating the trachea in cervical immobilization, due to the higher first-attempt success rate, faster intubation time, fewer dental clicks, lower number of intubation attempts, and overall ease of use.
Copyright © 2016 Elsevier Inc. All rights reserved."
