Topic,1980 to 1984,1985 to 1989,1990 to 1994,1995 to 1999,2000 to 2004,2005 to 2009,2010 to 2014,2015 to 2019
1,6,13,13,21,51,83,110,167
2,48,59,54,56,58,57,98,103
3,2,4,17,27,35,72,104,67
4,35,54,68,58,86,93,208,278
5,2,28,42,55,118,112,201,129
6,2,6,16,34,58,84,114,132
7,13,25,36,38,36,51,113,105
8,18,33,86,95,57,45,39,31
9,11,42,52,54,68,83,115,127
10,15,39,41,45,55,69,109,145
11,4,6,13,29,26,37,44,101
12,2,1,12,10,14,14,18,23
13,6,26,56,55,52,70,124,116
14,36,52,63,53,42,71,99,83
15,15,48,51,35,30,22,45,31
16,12,26,52,89,95,68,130,93
17,19,53,61,78,69,100,98,93
18,7,13,12,40,64,88,216,306
19,18,26,33,27,16,28,103,105
20,3,12,19,31,82,93,197,200
21,2,9,34,31,51,73,91,96
22,8,14,30,45,48,49,148,136
23,1,7,20,32,28,40,103,114
24,0,1,3,8,27,54,97,123
25,13,43,27,15,27,65,143,95
26,3,11,19,37,41,62,150,175
27,12,23,46,48,73,94,182,160
28,2,6,6,20,21,45,62,105
29,7,13,54,94,145,137,171,178
30,0,4,0,5,10,33,160,218
31,9,23,55,82,85,81,141,122
32,4,8,21,35,64,103,246,155
33,21,28,61,97,120,223,349,301
34,42,62,53,57,33,62,104,141
35,10,18,47,82,103,95,203,121
36,23,53,87,77,60,42,72,79
37,4,20,35,67,64,65,128,76
38,57,108,108,63,82,73,111,60
39,24,66,66,42,49,41,58,72
40,20,27,22,39,50,70,159,120
