Topic,Document Weight
1,585.2522712119898
2,432.5367846751234
3,426.1034578679359
4,882.0357791089672
5,529.6247221091127
6,516.4231738595073
7,446.4763478596749
8,333.9246228034885
9,466.0702923947073
10,391.2979793730266
11,343.0288818319336
12,287.5935488234256
13,494.27481396754604
14,484.4492205246887
15,266.50037785271303
16,462.8421360426359
17,551.7189439786716
18,698.416188107181
19,343.03555190856366
20,574.1244778690274
21,315.4026974241279
22,576.2716593419541
23,340.8143527079449
24,797.4031520839798
25,372.3707167285679
26,627.7208265206172
27,579.6765917950812
28,255.82889047857734
29,628.9554717415915
30,396.8697229672331
31,550.9813009183254
32,595.4868519980345
33,1166.8489330378845
34,453.2338564858064
35,646.3363754495848
36,503.224420998059
37,416.45006552283974
38,534.3944941995996
39,492.43692051788025
40,381.96411905370155
