Topic Group,Topics,Document Weight
Administration,"26, 30, 32",0.1276899130271287
Cards,"5, 34",0.07746612989209455
EMS,36,0.03966272382506855
Infection,40,0.030105330212444128
Med Ed,"27, 31",0.08911525329073566
Mental Health,37,0.032823414855352985
Pain,"21, 29",0.07443163664688636
Peds,12,0.02266730910680286
Public Health,"17, 18",0.09853211096074373
Radiology,"20, 23",0.07211288768941843
Rescuscitation,"10, 14, 15, 19, 25",0.14641501564195808
Stroke,28,0.02016370868766852
Toxicology,9,0.03673434062213671
Trauma,"2, 7, 8, 16",0.13208022554156068
