Topic,Coefficient,R^2
Administration,0.019770179901120406,0.942968268055615
Cards,-0.005805708961051537,0.7286990099845128
EMS,-0.007207143905040487,0.7757811727097174
Infection,-7.712625867824655e-05,0.0007569940142517773
Med Ed,0.004596626049302959,0.43405533223514225
Mental Health,0.0018199249958521613,0.25350368929655986
Pain,0.0066361266449852475,0.34386718884044876
Peds,0.0007939205330270259,0.3345559626079585
Public Health,0.005144970820390545,0.8138141582073143
Radiology,0.010953205774504532,0.9751318994293837
Rescuscitation,-0.020778359826642702,0.6684741406030884
Stroke,0.002889531284384406,0.9044906784148878
Toxicology,-0.002347207748352531,0.6862249574175829
Trauma,-0.0163889393038018,0.9069126879433987
