,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,0.0,140.0,222.0,208.0,264.0,118.0,221.0,30.0,50.0,35.0,88.0,104.0,159.0,114.0,29.0,36.0,104.0,101.0,19.0,228.0,23.0,139.0,154.0,242.0,16.0,274.0,61.0,98.0,51.0,206.0,45.0,137.0,143.0,71.0,120.0,120.0,114.0,12.0,32.0,128.0
2,140.0,0.0,90.0,270.0,22.0,54.0,194.0,61.0,13.0,45.0,33.0,98.0,47.0,49.0,34.0,87.0,33.0,17.0,80.0,206.0,21.0,75.0,170.0,97.0,98.0,59.0,26.0,32.0,56.0,17.0,12.0,27.0,61.0,12.0,31.0,33.0,23.0,24.0,20.0,42.0
3,222.0,90.0,0.0,118.0,78.0,48.0,56.0,55.0,50.0,37.0,93.0,79.0,129.0,202.0,74.0,21.0,43.0,48.0,65.0,222.0,24.0,98.0,62.0,130.0,72.0,48.0,127.0,33.0,90.0,66.0,39.0,97.0,99.0,52.0,100.0,69.0,36.0,39.0,47.0,19.0
4,208.0,270.0,118.0,0.0,236.0,135.0,148.0,116.0,266.0,71.0,68.0,171.0,268.0,144.0,85.0,111.0,155.0,200.0,29.0,306.0,75.0,171.0,237.0,358.0,107.0,329.0,66.0,188.0,150.0,187.0,29.0,112.0,292.0,112.0,141.0,123.0,169.0,88.0,160.0,229.0
5,264.0,22.0,78.0,236.0,0.0,80.0,26.0,3.0,51.0,6.0,29.0,9.0,171.0,45.0,10.0,19.0,40.0,67.0,24.0,122.0,23.0,96.0,46.0,294.0,15.0,238.0,17.0,48.0,30.0,106.0,17.0,132.0,94.0,54.0,63.0,137.0,28.0,43.0,69.0,10.0
6,118.0,54.0,48.0,135.0,80.0,0.0,74.0,60.0,56.0,36.0,95.0,85.0,53.0,48.0,26.0,87.0,99.0,228.0,63.0,67.0,39.0,189.0,65.0,237.0,50.0,212.0,154.0,48.0,162.0,51.0,65.0,119.0,266.0,73.0,307.0,109.0,204.0,11.0,116.0,83.0
7,221.0,194.0,56.0,148.0,26.0,74.0,0.0,52.0,44.0,72.0,26.0,106.0,95.0,86.0,25.0,218.0,104.0,97.0,14.0,74.0,16.0,104.0,265.0,285.0,23.0,144.0,33.0,84.0,21.0,112.0,20.0,64.0,113.0,43.0,66.0,206.0,72.0,44.0,61.0,9.0
8,30.0,61.0,55.0,116.0,3.0,60.0,52.0,0.0,85.0,32.0,24.0,30.0,36.0,37.0,63.0,50.0,51.0,14.0,35.0,56.0,20.0,19.0,23.0,43.0,86.0,25.0,31.0,12.0,139.0,13.0,8.0,25.0,47.0,10.0,38.0,19.0,21.0,94.0,67.0,70.0
9,50.0,13.0,50.0,266.0,51.0,56.0,44.0,85.0,0.0,40.0,40.0,62.0,266.0,79.0,72.0,84.0,92.0,108.0,23.0,32.0,73.0,82.0,19.0,130.0,4.0,108.0,17.0,40.0,66.0,64.0,11.0,32.0,93.0,29.0,67.0,58.0,100.0,153.0,234.0,17.0
10,35.0,45.0,37.0,71.0,6.0,36.0,72.0,32.0,40.0,0.0,17.0,36.0,13.0,107.0,38.0,7.0,18.0,17.0,112.0,40.0,71.0,52.0,7.0,129.0,57.0,37.0,102.0,12.0,12.0,20.0,34.0,25.0,61.0,49.0,16.0,112.0,5.0,22.0,34.0,6.0
