Topic,1980 to 1984,1985 to 1989,1990 to 1994,1995 to 1999,2000 to 2004,2005 to 2009,2010 to 2014,2015 to 2019
1,0,0,0,4,7,14,9,17
2,0,0,1,17,24,17,11,5
3,0,0,3,5,12,16,27,10
4,0,0,0,7,16,12,33,27
5,0,0,1,16,7,6,8,4
6,0,0,0,6,6,16,14,25
7,0,0,0,14,21,30,21,19
8,0,0,0,3,6,9,34,5
9,0,0,1,9,30,34,57,15
10,0,0,4,16,21,26,32,31
11,0,0,1,15,37,52,56,19
12,0,0,0,9,15,15,21,14
13,0,0,0,37,33,44,41,32
14,0,0,0,8,22,31,43,46
15,0,0,4,33,37,45,40,31
16,0,0,2,15,28,20,20,5
17,0,0,1,6,8,16,22,23
18,0,0,0,13,25,31,62,49
19,0,0,5,44,65,37,33,9
20,0,0,1,17,15,17,14,6
21,0,0,0,14,38,10,32,21
22,0,0,0,15,22,9,8,6
23,0,0,2,18,21,15,22,22
24,0,0,0,15,31,18,12,9
25,0,0,2,34,63,149,182,117
26,0,0,0,14,15,24,17,5
27,0,0,1,3,5,13,9,5
28,0,0,0,9,26,10,18,8
29,0,0,2,14,17,28,21,27
30,0,0,0,12,6,13,12,2
31,0,0,3,19,56,69,66,9
32,0,0,5,39,49,43,49,26
33,0,0,0,9,8,15,21,32
34,0,0,1,12,10,17,24,23
35,0,0,0,13,16,16,16,5
36,0,0,0,0,11,19,27,21
37,0,0,1,9,9,26,10,1
38,0,0,0,11,14,17,20,8
39,0,0,2,3,5,6,6,5
40,0,0,2,20,18,14,18,4
