Topic,1980 to 1984,1985 to 1989,1990 to 1994,1995 to 1999,2000 to 2004,2005 to 2009,2010 to 2014,2015 to 2019
1,0,0,3,2,8,16,37,64
2,3,8,11,20,9,19,47,49
3,1,1,3,4,5,31,43,37
4,1,12,22,24,32,31,50,144
5,0,1,3,7,35,40,107,61
6,1,1,2,7,7,14,19,19
7,1,4,5,9,9,8,29,40
8,0,7,11,17,12,14,9,14
9,1,11,18,15,19,22,39,56
10,1,5,7,14,7,27,35,64
11,0,2,2,3,3,3,6,13
12,0,1,3,3,0,0,5,5
13,0,11,17,14,14,32,68,85
14,1,12,20,17,18,37,52,51
15,1,11,15,10,6,12,16,16
16,0,6,12,16,16,15,30,49
17,2,8,9,12,20,11,16,16
18,1,4,1,8,19,19,61,89
19,0,7,2,4,7,11,50,65
20,0,3,8,4,25,28,68,107
21,0,3,6,6,8,21,24,43
22,0,2,2,9,11,6,31,29
23,0,0,5,4,14,11,27,48
24,0,1,1,1,4,18,31,46
25,2,11,1,6,9,14,49,42
26,0,1,7,9,14,22,53,49
27,0,4,4,5,5,2,4,4
28,0,1,0,1,4,16,29,52
29,0,3,12,24,41,41,56,79
30,0,1,0,3,2,19,89,159
31,0,0,5,9,14,1,3,3
32,0,0,6,10,16,15,55,47
33,1,6,7,4,2,3,13,17
34,8,21,12,9,4,23,52,97
35,1,0,11,19,21,10,5,10
36,3,9,20,16,17,12,15,21
37,3,5,2,10,9,10,13,22
38,26,26,28,8,6,17,50,45
39,1,13,16,7,12,7,22,36
40,4,5,8,11,6,13,60,67
