Topic,1980 to 1984,1985 to 1989,1990 to 1994,1995 to 1999,2000 to 2004,2005 to 2009,2010 to 2014,2015 to 2019
1,6,8,7,8,18,27,11,21
2,41,43,29,17,18,9,8,8
3,0,3,13,14,6,6,5,3
4,29,21,29,8,10,7,7,7
5,2,17,29,24,42,31,22,13
6,1,4,13,9,20,27,21,48
7,11,19,22,13,5,11,17,16
8,18,16,50,28,12,5,0,1
9,9,24,29,24,22,21,15,14
10,12,26,27,12,21,11,15,19
11,5,4,8,12,17,11,13,25
12,1,0,7,4,6,1,2,4
13,6,13,32,16,12,4,9,3
14,31,36,39,13,8,14,5,8
15,12,31,27,13,11,2,2,3
16,11,18,38,46,42,25,5,4
17,14,32,35,43,29,29,22,11
18,4,7,10,9,17,28,44,49
19,18,17,20,13,2,5,8,11
20,3,8,11,14,14,10,38,10
21,2,6,25,15,23,15,21,21
22,8,12,23,16,10,13,36,17
23,1,6,8,12,6,9,13,11
24,0,0,2,5,5,6,10,11
25,10,21,18,4,4,16,7,6
26,3,8,10,14,11,13,26,24
27,11,12,13,11,5,7,8,4
28,1,5,4,7,5,13,9,13
29,7,9,39,37,40,41,36,33
30,0,2,0,1,3,6,7,11
31,7,16,32,23,11,13,16,12
32,3,7,10,10,18,36,29,24
33,16,15,33,49,45,44,81,65
34,34,36,33,35,16,11,13,15
35,8,14,32,23,27,17,17,12
36,16,36,59,36,11,1,10,12
37,1,12,28,33,21,9,35,9
38,31,78,67,24,9,13,12,5
39,21,51,47,14,23,20,10,11
40,14,17,13,13,19,20,9,14
