Topic,1980 to 1984,1985 to 1989,1990 to 1994,1995 to 1999,2000 to 2004,2005 to 2009,2010 to 2014,2015 to 2019
1,0,0,0,0,0,1,1,7
2,0,0,0,0,2,1,10,15
3,0,0,0,0,0,2,0,0
4,0,0,0,0,0,0,4,7
5,0,0,0,0,0,2,0,0
6,0,0,0,0,1,3,7,4
7,0,0,0,0,0,4,9,3
8,0,0,0,0,1,3,1,12
9,0,0,0,0,0,4,4,8
10,0,0,0,0,2,5,5,4
11,0,0,0,0,0,2,2,15
12,0,0,0,0,0,4,3,2
13,0,0,0,0,0,5,8,24
14,0,0,0,0,0,2,2,2
15,0,0,0,0,0,0,5,3
16,0,0,0,0,0,1,3,2
17,0,0,0,0,1,3,6,8
18,0,0,0,0,0,1,7,14
19,0,0,0,0,0,1,2,1
20,0,0,0,0,0,2,0,3
21,0,0,0,0,0,3,1,4
22,0,0,0,0,0,2,8,14
23,0,0,0,0,0,4,5,7
24,0,0,0,0,0,0,3,1
25,0,0,0,0,0,4,15,19
26,0,0,0,0,0,1,0,2
27,0,0,0,0,0,0,0,3
28,0,0,0,0,1,3,5,6
29,0,0,0,0,0,0,2,7
30,0,0,0,0,0,6,4,6
31,0,0,0,0,0,2,0,6
32,0,0,0,0,0,1,0,0
33,0,0,0,0,0,1,0,7
34,0,0,0,0,1,1,2,4
35,0,0,0,0,0,0,0,7
36,0,0,0,0,0,3,3,7
37,0,0,0,0,0,3,8,7
38,0,0,0,0,0,3,5,3
39,0,0,0,0,0,3,3,6
40,0,0,0,0,0,1,2,5
