Topic,1980 to 1984,1985 to 1989,1990 to 1994,1995 to 1999,2000 to 2004,2005 to 2009,2010 to 2014,2015 to 2019
1,0,5,2,2,1,4,9,13
2,4,9,14,6,11,17,18,22
3,0,0,1,2,8,6,8,14
4,4,22,18,18,17,24,34,108
5,0,10,4,5,16,11,28,21
6,0,2,0,2,5,2,19,14
7,1,2,8,1,8,10,29,18
8,0,10,20,20,4,7,10,12
9,2,7,5,7,19,22,33,34
10,2,8,7,9,15,14,26,34
11,0,0,1,3,0,0,1,3
12,1,0,2,1,1,3,2,5
13,0,2,6,3,4,8,24,10
14,4,4,4,3,3,4,30,6
15,2,6,8,4,7,2,13,7
16,1,1,1,3,9,7,28,13
17,3,13,16,15,9,23,15,19
18,2,2,1,6,2,8,19,42
19,0,2,6,4,2,3,24,14
20,0,1,0,5,13,23,34,28
21,0,0,3,3,5,7,14,16
22,0,0,5,9,5,4,39,29
23,0,1,5,5,2,8,29,12
24,0,0,0,0,2,3,10,15
25,1,11,7,1,1,18,37,25
26,0,2,2,5,3,4,27,29
27,1,7,26,12,7,6,54,32
28,1,0,2,2,1,6,10,19
29,0,1,0,13,27,19,34,24
30,0,1,0,0,0,1,16,20
31,2,7,13,8,6,17,35,25
32,1,1,4,4,1,8,53,29
33,3,6,19,11,10,16,30,36
34,1,5,6,3,0,7,13,16
35,1,3,4,12,19,22,61,14
36,4,8,9,7,7,8,22,8
37,0,3,5,1,7,2,29,15
38,0,4,10,2,4,3,15,1
39,2,2,3,4,6,2,10,12
40,2,5,1,5,8,12,47,20
