Topic,1980 to 1984,1985 to 1989,1990 to 1994,1995 to 1999,2000 to 2004,2005 to 2009,2010 to 2014,2015 to 2019
1,0,0,0,0,0,0,5,11
2,0,0,0,0,0,1,12,10
3,0,0,0,0,0,3,13,4
4,0,0,0,0,0,18,98,4
5,0,0,0,0,0,2,13,7
6,0,0,0,0,0,2,7,4
7,0,0,0,0,0,3,5,9
8,0,0,0,0,0,1,5,1
9,0,0,0,0,0,6,18,12
10,0,0,0,0,0,1,9,10
11,0,0,0,0,0,1,6,35
12,0,0,0,0,0,2,5,1
13,0,0,0,0,0,2,6,6
14,0,0,0,0,0,2,6,7
15,0,0,0,0,0,1,4,2
16,0,0,0,0,0,4,44,11
17,0,0,0,0,0,4,18,21
18,0,0,0,0,0,0,18,55
19,0,0,0,0,0,1,6,9
20,0,0,0,0,0,4,21,19
21,0,0,0,0,0,2,13,1
22,0,0,0,0,0,0,19,22
23,0,0,0,0,0,0,13,12
24,0,0,0,0,0,0,3,15
25,0,0,0,0,0,2,25,11
26,0,0,0,0,0,4,6,31
27,0,0,0,0,0,2,47,101
28,0,0,0,0,0,4,5,5
29,0,0,0,0,0,1,5,11
30,0,0,0,0,0,0,13,13
31,0,0,0,0,0,3,31,56
32,0,0,0,0,0,2,43,28
33,0,0,0,0,0,6,33,45
34,0,0,0,0,0,0,4,1
35,0,0,0,0,0,0,72,39
36,0,0,0,0,0,1,5,14
37,0,0,0,0,0,2,18,15
38,0,0,0,0,0,1,2,0
39,0,0,0,0,0,1,6,10
40,0,0,0,0,0,3,17,9
