Topic Group,Topics,Coefficient,R^2
Administration,"26, 30, 32",0.024759756496075643,0.9266376577151301
Cards,"5, 34",0.006645458705439561,0.15181266213187716
EMS,36,0.003642361532675289,0.2654470853166496
Infection,40,0.003921564666996802,0.6157737944130504
Med Ed,"27, 31",0.019121440821563834,0.37147325001780396
Mental Health,37,0.006320484682195587,0.5475738577671088
Pain,"21, 29",0.010323788159184692,0.36247904086481875
Peds,12,0.006180609466956914,0.8792057976637198
Public Health,"17, 18",0.022611402543947556,0.9651012389559696
Radiology,"20, 23",0.017151812579865037,0.9028849085627886
Rescuscitation,"10, 14, 15, 19, 25",0.007925382459117922,0.09487449906502021
Stroke,28,0.003221787327535413,0.5452556349968449
Toxicology,9,0.0021743027205288843,0.29024357268107304
Trauma,"2, 7, 8, 16",0.008856990695059686,0.09982338154914427
