Topic Group,Topics,Coefficient,R^2
Administration,"26, 30, 32",0.020442663198173724,0.8720712746152428
Cards,"5, 34",-0.0049092356329218075,0.11762263583544841
EMS,36,-0.009333384011752866,0.8162702399493174
Infection,40,-0.0021306945355916477,0.06968244630224751
Med Ed,"27, 31",-0.0025104071007838132,0.1171841347554776
Mental Health,37,-0.002698080855747499,0.3712991364641174
Pain,"21, 29",0.007531749221282773,0.33047072403101685
Peds,12,-0.0017384650453016095,0.7216041838673002
Public Health,"17, 18",-0.003261440765075902,0.2775010020384412
Radiology,"20, 23",0.014152791102718209,0.8994928605889875
Rescuscitation,"10, 14, 15, 19, 25",-0.010097502409275984,0.21285536244484357
Stroke,28,0.004578065382803469,0.8870073592559042
Toxicology,9,-0.004062215215992529,0.3461856119949712
Trauma,"2, 7, 8, 16",-0.005963843332534519,0.24422706018783488
