Topic Group,Topics,Document Weight
Administration,"26, 30, 32",0.12869939252958426
Cards,"5, 34",0.06292496308299782
EMS,36,0.03273794640918195
Infection,40,0.024391174548957218
Med Ed,"27, 31",0.15802296280338002
Mental Health,37,0.04340575434963767
Pain,"21, 29",0.080315790421234
Peds,12,0.03196045477894083
Public Health,"17, 18",0.1097792074917345
Radiology,"20, 23",0.08159925382217315
Rescuscitation,"10, 14, 15, 19, 25",0.09759529638679953
Stroke,28,0.01607529555507925
Toxicology,9,0.019213887311251523
Trauma,"2, 7, 8, 16",0.11327862050904829
