Topic Group,Topics,Document Weight
Administration,"26, 30, 32",0.06187161949566271
Cards,"5, 34",0.06932192433216938
EMS,36,0.05926541154423374
Infection,40,0.055751013586488006
Med Ed,"27, 31",0.025656036891842978
Mental Health,37,0.02716756945919177
Pain,"21, 29",0.07240183780437649
Peds,12,0.031563329578888646
Public Health,"17, 18",0.06869417763050806
Radiology,"20, 23",0.09129051169842542
Rescuscitation,"10, 14, 15, 19, 25",0.20962610934666703
Stroke,28,0.06499634405598582
Toxicology,9,0.0353833194347607
Trauma,"2, 7, 8, 16",0.12701079514079924
