Topic Group,Topics,Document Weight
Administration,"26, 30, 32",0.04797966868426587
Cards,"5, 34",0.030555373591409505
EMS,36,0.0681624830775281
Infection,40,0.02664002622589265
Med Ed,"27, 31",0.03846788768238259
Mental Health,37,0.06365333865192846
Pain,"21, 29",0.05614128735955524
Peds,12,0.02451375592617365
Public Health,"17, 18",0.11315428791973332
Radiology,"20, 23",0.06304650325619547
Rescuscitation,"10, 14, 15, 19, 25",0.19733177535052046
Stroke,28,0.05665742076609694
Toxicology,9,0.051892768556988204
Trauma,"2, 7, 8, 16",0.16180342295132935
