Topic Group,Topics,Document Weight
Administration,"26, 30, 32",0.0989495742783246
Cards,"5, 34",0.05241282965489581
EMS,36,0.04090849671284426
Infection,40,0.03333148377579016
Med Ed,"27, 31",0.07222014974939384
Mental Health,37,0.05481620721885724
Pain,"21, 29",0.07301616862804614
Peds,12,0.03919968242687652
Public Health,"17, 18",0.07108047523269108
Radiology,"20, 23",0.05917475156243735
Rescuscitation,"10, 14, 15, 19, 25",0.17754910269183394
Stroke,28,0.08180379127278858
Toxicology,9,0.037453922361395
Trauma,"2, 7, 8, 16",0.10808336443382546
