Topic Group,Topics,Document Weight
Administration,"26, 30, 32",0.14519536228094326
Cards,"5, 34",0.034448201323501335
EMS,36,0.025856447017125198
Infection,40,0.021356227061429502
Med Ed,"27, 31",0.22672712878321283
Mental Health,37,0.04321532685348467
Pain,"21, 29",0.03228439827369591
Peds,12,0.01631293994433726
Public Health,"17, 18",0.11895261065508651
Radiology,"20, 23",0.07470083123123387
Rescuscitation,"10, 14, 15, 19, 25",0.09863688707840443
Stroke,28,0.01929570782302421
Toxicology,9,0.03409711202213051
Trauma,"2, 7, 8, 16",0.10892081965239059
