Topic,Coefficient,R^2
T1:St Mod/Pred,0.0053075423428194084,0.9410629579846035
T2:Trauma Img,-0.0011084239660871403,0.15892611948165425
T3:St Meas/Agr,0.003118614776106925,0.5708288012538657
T4:Case Pres/Dg,0.00028338865106648033,0.004406445846449336
T5:Chest Pain,0.005373941059071671,0.477751630561997
T6:Clinical Trial,-0.0003859705978941299,0.0848749426636155
T7:Trauma S/O,-0.0001983262711562939,0.007584372999695055
T8:Wound Care,-0.001046750231103011,0.06185418576766266
T9:Toxicology,-0.002006252124545517,0.2091892773166799
T10:Intub A/Mng,0.0013734933499433993,0.3302408611054814
T11:Lit Rev/Pub,0.0005795630500469818,0.1170572102013896
T12:Pediatrics,-0.0007402787736447731,0.46169727674966443
T13:Lab Tests,-0.0001734706274848299,0.001720477772176987
T14:Vitals,-0.0013838084952193788,0.06624133278513744
T15:Temp Mng,-0.004100170171413377,0.6592413134777217
T16:M Veh Inj,0.0004542262346825981,0.02983916748001536
T17:Publ H/Dis,-0.0042926896615357495,0.7971595980178605
T18:Health Util,0.0035659812351239296,0.779762123163204
T19:CPR,0.0006876078064729203,0.03478749747626775
T20:Ultrasound,0.006240441399757537,0.8523297490117094
T21:Sedation,0.0015519633900876316,0.5423731794891039
T22:Chart R/EMR,0.0020477869772038836,0.5973054861112024
T23:CT Imaging,0.0033858940321951593,0.9019383863112473
T24:Risk Fact,0.007578922415905721,0.9039297856105418
T25:IV Place,-0.00010925617104055359,0.0008704007661456403
T26:Disposition,0.004334261087840944,0.8797937944801422
T27:Med Ed/Sim,-0.0009812853320033497,0.28820317237929627
T28:IC H/Stroke,0.0030841828992162457,0.9046995341306536
T29:Pain/Treat,0.0037896454394269817,0.24579135784693418
T30:Sepsis,0.006691537095009078,0.5816828538626555
T31:Res Train,-0.0003067704597121225,0.007799308465647026
T32:Op Metrics,0.0035279881991655024,0.5795730843080282
T33:Acad Res,-0.0023632922054933735,0.5132581090414642
T34:Card Arrest,-0.006274191870258078,0.4400916114923188
T35:Survey Meth,0.00018005481365645105,0.0010827374271203949
T36:Prehosp Ca,-0.00504406611396163,0.688541887361516
T37:Mental H/SA,-0.0011442208766607861,0.2593037793921009
T38:Lab R/B Sci,-0.02695861930998031,0.5353965971074144
T39:Treatment,-0.004144947709950158,0.4518652738266792
T40:Infection,-0.0003942452856549038,0.009767922736171997
