Topic,Document Weight
1,361.0726237741807
2,396.90717737423705
3,825.9265695876095
4,432.4449580242393
5,300.06688341683423
6,654.6833464044004
7,435.06922330672865
8,434.24335546662877
9,345.52118610609136
10,287.02112958068693
11,528.8764723959216
12,573.8995312053358
13,399.4183780281405
14,396.1689957256886
15,521.4485166575505
16,631.333864011348
17,581.7923416990901
18,564.6602325037215
19,446.4019147830565
20,568.0753857199447
21,341.5564721913635
22,527.9095611005725
23,716.9454822752796
24,328.087867046356
25,275.8167129852741
26,440.28647967233843
27,328.5093731643966
28,328.3128938786679
29,467.6222381743348
30,436.668465598517
31,265.2725147690213
32,464.2774317526546
33,397.6614862872708
34,841.4088782086385
35,987.3797595320367
36,664.3016176421664
37,453.7498770658485
38,497.4838699060343
39,558.8119597108209
40,546.8551077933879
