Topic,1980 to 1984,1985 to 1989,1990 to 1994,1995 to 1999,2000 to 2004,2005 to 2009,2010 to 2014,2015 to 2019
1,0,2,1,5,9,16,18,13
2,1,2,8,11,20,30,58,72
3,2,12,22,24,32,24,50,147
4,0,0,0,5,1,23,76,144
5,0,1,10,10,3,8,4,6
6,2,0,13,17,25,8,5,15
7,2,24,26,18,19,18,40,47
8,2,3,2,13,16,16,12,20
9,1,2,6,6,13,22,26,62
10,4,4,3,9,4,10,53,52
11,0,0,2,9,8,3,3,2
12,26,27,35,10,9,19,52,60
13,2,4,14,13,17,12,15,19
14,0,3,2,7,6,15,32,63
15,0,2,5,9,7,5,15,23
16,0,1,1,4,10,8,18,21
17,1,1,7,7,15,13,42,39
18,4,10,11,11,20,9,9,13
19,0,3,0,2,1,5,31,28
20,0,0,2,2,8,16,35,51
21,1,5,3,8,6,11,25,20
22,0,1,6,11,14,13,55,39
23,1,5,6,11,21,12,61,81
24,1,12,3,6,9,18,53,46
25,0,5,6,17,15,15,8,15
26,0,1,3,8,34,39,101,57
27,2,10,14,11,8,28,23,34
28,1,5,7,12,7,23,37,67
29,0,2,8,11,30,20,69,95
30,1,13,17,12,13,41,61,62
31,1,8,4,3,5,10,41,60
32,0,4,5,3,6,0,6,6
33,6,18,13,9,2,23,50,93
34,0,0,2,1,7,20,45,61
35,0,5,5,4,0,1,14,14
36,0,3,16,20,33,35,62,80
37,0,12,12,10,15,43,81,104
38,0,2,4,4,3,7,30,49
39,0,4,3,12,4,13,13,20
40,2,11,20,16,15,19,39,60
