Topic,1980 to 1984,1985 to 1989,1990 to 1994,1995 to 1999,2000 to 2004,2005 to 2009,2010 to 2014,2015 to 2019
1,0,0,0,0,0,0,5,6
2,0,0,0,0,0,2,3,4
3,0,0,0,0,1,4,3,8
4,0,0,0,0,1,6,5,15
5,0,0,0,0,0,0,0,1
6,0,0,0,0,0,4,6,18
7,0,0,0,0,0,9,4,5
8,0,0,0,0,0,5,8,5
9,0,0,0,0,0,0,2,0
10,0,0,0,0,0,1,2,5
11,0,0,0,0,0,0,0,0
12,0,0,0,0,0,1,3,1
13,0,0,0,0,0,2,7,10
14,0,0,0,0,0,1,1,7
15,0,0,0,0,0,0,2,14
16,0,0,0,0,0,1,7,11
17,0,0,0,0,0,1,3,4
18,0,0,0,0,2,7,9,26
19,0,0,0,0,0,1,2,3
20,0,0,0,0,0,3,5,1
21,0,0,0,0,0,0,0,4
22,0,0,0,0,0,3,4,7
23,0,0,0,0,0,1,7,13
24,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,1,0
26,0,0,0,0,2,3,3,4
27,0,0,0,0,1,1,2,3
28,0,0,0,0,0,4,3,2
29,0,0,0,0,0,0,1,1
30,0,0,0,0,0,1,2,3
31,0,0,0,0,0,2,3,5
32,0,0,0,0,0,3,1,6
33,0,0,0,0,0,4,5,5
34,0,0,0,0,0,4,4,15
35,0,0,0,0,0,3,14,16
36,0,0,0,0,2,0,2,3
37,0,0,0,0,0,4,0,2
38,0,0,0,0,0,3,2,10
39,0,0,0,0,0,2,4,0
40,0,0,0,0,0,1,10,12
