Number of Topics,Mallet MEAN,Mallet STDV
5,0.48116730075600617,0.012798034273201173
10,0.5294391156666128,0.005294524108167618
15,0.5428610616972691,0.0072833950914403655
20,0.5522729952979535,0.008628271222980018
25,0.5584831202409992,0.005655283509145705
30,0.5587560814746766,0.005311174059301664
35,0.5565822015044731,0.008667784165783034
40,0.5599387233859753,0.007386671824802656
45,0.5521600156334946,0.008874786673270057
50,0.5483509821425735,0.006341314937410602
55,0.5443825373624571,0.003897722448894145
60,0.5440732461665235,0.004705223667391756
65,0.5365264238565084,0.005932912189747482
70,0.535320032420569,0.005240853816098303
75,0.524117636481091,0.004514157659010794
80,0.5202684901190818,0.0061035328130964244
85,0.5159943083321855,0.006566745012198629
90,0.5122737133742017,0.004422490053914223
95,0.5082315398794041,0.004343494228688531
100,0.5038756742348937,0.002851624515458102
