Number of Topics,Mallet MEAN,Mallet STDV
5,0.41671499104317766,0.018374842220220337
10,0.45929426733022477,0.010533145939419532
15,0.4669726515798011,0.009150625492927547
20,0.4835714970031919,0.005967900718964372
25,0.47211997888864304,0.008342897777344994
30,0.4646459517744508,0.008172772936300806
35,0.4638043513049631,0.00953503385816565
40,0.4622860156173253,0.007926491595404445
45,0.46223324790651227,0.004786810079036781
50,0.4512065857122566,0.007995031566220456
55,0.4555634801666312,0.005402401252679581
60,0.4470430900038149,0.00571472945330929
65,0.44876875116053005,0.01033027385529667
70,0.4420041660709268,0.0055964017222015095
75,0.4380719991850672,0.004378657160521171
80,0.4347713180361071,0.008041645040728853
85,0.4312875722214141,0.004921655292518786
90,0.42775640388918335,0.006968933867812823
95,0.4243712500133678,0.005811398304363213
100,0.42226819977786906,0.005317092866457676
