Number of Topics,Gensim,Mallet,Sklearn
5,0.46409890768811773,0.44915240779696275,0.47799890647582827
10,0.4731045054448768,0.5227626434963596,0.4888400391296067
15,0.5286641165771943,0.5347944625045181,0.5083200635942782
20,0.5180008717393669,0.5589545028514081,0.5065548071871502
25,0.4970600518325965,0.5477847484290224,0.5031973829938219
30,0.5170981771013239,0.564810150834428,0.48429713815115266
35,0.5008084893368197,0.5639969809685912,0.4937287658099085
40,0.5098071576072402,0.5706849265524558,0.48914467808217194
45,0.5069861591595587,0.5690077027098455,0.47766036073366164
50,0.508870173386304,0.5632452754001378,0.4890516298338593
55,0.4948909412966487,0.5611639750646914,0.49977182869032716
60,0.47178850792420196,0.5630360529520334,0.47548719484905644
65,0.4834012964320704,0.5625062456342813,0.4944228810853769
70,0.48784483286545605,0.565990920299465,0.47556698818532056
75,0.46304559040329973,0.5623679221481684,0.5030302492608839
80,0.4776516089709988,0.5534132122821985,0.47738981330729524
85,0.46654244046341503,0.5557654397584543,0.491391615182116
90,0.4595080253309519,0.5557040577984633,0.49587291755651114
95,0.4570014308472837,0.5455645463493727,0.49486954180799836
100,0.46180212631051826,0.5391810567495943,0.49407193583547326
