Number of Topics,Gensim,Mallet,Sklearn
5,174.88532614707947,85.3395369052887,49.83739495277405
10,173.44617462158203,86.47726893424988,71.82789969444275
15,174.02256965637207,91.89687609672546,139.42011737823486
20,191.32766819000244,99.91734623908997,139.1076693534851
25,178.09500885009766,100.03753781318665,162.87581324577332
30,180.56464266777039,130.6270341873169,184.13464832305908
35,187.3321738243103,133.19335556030273,214.06680941581726
40,191.0664119720459,120.73784589767456,241.90490531921387
45,196.1114625930786,104.97625589370728,265.1624598503113
50,197.7293610572815,108.1667582988739,296.50883769989014
55,201.73886895179749,128.72247552871704,324.0517361164093
60,203.74607849121094,118.31506443023682,351.7572338581085
65,205.98991751670837,117.23392128944397,380.91943430900574
70,212.59241580963135,120.05006790161133,426.1869773864746
75,216.88521313667297,130.34592986106873,461.93833661079407
80,230.8099582195282,121.24108982086182,500.9477028846741
85,235.04756879806519,132.51693415641785,504.7501411437988
90,241.50952982902527,123.91070818901062,620.5835452079773
95,260.91970896720886,123.69122219085693,611.9093840122223
100,343.1800343990326,134.7473268508911,652.6899111270905
