Number of Topics,Gensim,Mallet,Sklearn
5,0.46366560689304653,0.45274973629814735,0.46068855016436216
10,0.5033876201642997,0.5484264086456003,0.5132439897482095
15,0.547031887629873,0.5567985828048932,0.5023249755983175
20,0.5534697333699146,0.5739613119747925,0.5026549809256534
25,0.5498544389704214,0.5967049443515084,0.5185976004622913
30,0.5388056893540989,0.5810801528434675,0.5277298649212913
35,0.5526453677499195,0.5796454367114185,0.5056068272057238
40,0.5410714201234162,0.5995559048885413,0.49349466464908665
45,0.5112594612948345,0.5902632505851797,0.49865063553663647
50,0.5289350290778753,0.5808996541799469,0.48043858855087856
