Number of Topics,Gensim,Mallet,Sklearn
5,0.4724938206983623,0.45346454160261035,0.4829474839845903
10,0.5195736148354985,0.5385852205883138,0.5245354019046213
15,0.5186368034450966,0.5473046625066935,0.5531709251073431
20,0.5404810188234518,0.5733919420735962,0.5407162402591117
25,0.5379110103515063,0.5974973376000849,0.5047730448335771
30,0.5363599005626727,0.5768490209450743,0.510801143995706
35,0.5549765479354503,0.5769005109710925,0.5380786438685178
40,0.5367667474962357,0.5789814394619811,0.5128035016697712
45,0.5237062309579713,0.5921280763888127,0.5336857994056676
50,0.5156111888853355,0.5881048903336044,0.49656351604011284
