Number of Topics,Gensim,Mallet,Sklearn
5,160.17100024223328,96.26033782958984,47.44905757904053
10,160.27248239517212,152.83478593826294,58.95566248893738
15,162.3435664176941,99.3801281452179,93.18395400047302
20,162.84904599189758,99.73793172836304,116.0177640914917
25,165.87795424461365,147.52990078926086,136.93660855293274
30,168.7253291606903,138.79996967315674,156.34481811523438
35,191.1136441230774,127.46319627761841,186.09314966201782
40,179.24555039405823,112.25185704231262,200.14209818840027
45,181.49991297721863,123.72919726371765,230.6367428302765
50,185.3843719959259,114.66181945800781,244.09305381774902
