Number of Topics,Gensim,Mallet,Sklearn
5,156.38383793830872,92.77873492240906,45.07662773132324
10,156.15110230445862,94.37626457214355,61.528287410736084
15,158.99365997314453,97.36587023735046,94.32715725898743
20,160.50333452224731,101.6090018749237,116.85170435905457
25,162.6214518547058,138.03030848503113,137.21912217140198
30,164.19064021110535,121.74513626098633,158.42790389060974
35,175.84658288955688,107.38705086708069,178.79743313789368
40,174.58913397789001,127.4253933429718,200.0923354625702
45,188.77999448776245,114.57043528556824,228.10471177101135
50,189.39552998542786,113.11890888214111,245.76891136169434
