Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24644485004892766
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40625251038629046
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01127612403983617
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010276414553076159
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011443386864170785
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048721703455379975
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012176416874045758
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02454503419072917
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017552051925878893
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11557855662221334
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06466778334731516
