Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25735281278602895
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43679892890913874
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17237091239347624
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07271909866966547
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05575110620484527
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12935916844572962
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333482646218325
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09453993863830266
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03545501121591615
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1809419231144197
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3311529784427666
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14056055689097507
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2723861151143903
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.259450247822537
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42070857650117477
