Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3354335544232565
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20690983043369904
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057704952849057356
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10856624174452592
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33341167267698957
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04833647670464413
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3958003664778826
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09808680288163285
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054104100230927314
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06761114441670038
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39433717855211226
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27342415828488165
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5095794410050927
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6944034993246211
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3745670976992427
