Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.011582168793643184,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.17027654039178966,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.027181369459900063,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.07708165328402974,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.1139224044856153,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.026650477065779773,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.13209551509124182,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.3686587267289784,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.020692460272419656,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.01136703419485142,0.0,0.0
