Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01440008180326077
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09156840650526794
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11526467439045425
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01019538551412837
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013117005714821469
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01095811423173396
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11916003946396103
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029801188066513072
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05473536920273081
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08891481273719626
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016002856625277898
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16876573445662663
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25138806554394316
