Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03269469612439833
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05973180815457277
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016280798967847537
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0737145554708991
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016950395375189962
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015800219757580534
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0129567125723739
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017513516980391122
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0325157936826584
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02583575464802431
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531011566919614
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025810162954015253
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09292855214164567
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036950544350407025
