Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975497121398715,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03246222701938414,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02987932722963498,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12276437596615833,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15192133660134255,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44291336352988814,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012074884403596569,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04231150177361804,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02864919375098896,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011156742908208195,0.0
