Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.18447760121277215,0.7023182637778567,0.16753800296600896,0.47301912724348816,0.37339035249170066
2,0.0,0.0,0.0,0.0,0.1833349831635428,0.22467460350087742,0.37308257255725297,0.173273971037638,0.2414055711147351
3,0.0,0.0,0.0,0.0,0.39805205581854364,1.199741153161335,0.38151832966723087,2.295498307118716,0.871345544921862
4,0.0,0.0,0.0,0.0,0.16359975946290947,0.49202679050836234,0.8544518304699291,0.22537571116361801,0.7635796758726417
5,0.0,0.0,0.0,0.0,0.1675129881712043,1.783367952577657,0.29495846118790503,1.943347348155716,1.10701858542116
6,0.0,0.0,0.0,0.0,0.7245285839499467,3.0069137188361736,1.2847590486495937,1.4554542398287944,4.692836378978708
7,0.0,0.0,0.0,0.0,0.6065960459231795,1.6004437351594953,0.1648104068735959,0.8927335760989914,0.5154019853625308
8,0.0,0.0,0.0,0.0,0.8357346487040032,2.184283800414246,1.150608058126008,0.37158571583774036,0.9759159747134258
9,0.0,0.0,0.0,0.0,0.0,0.9660522763101128,1.9929539490036134,0.7584565681131024,0.27550625703861753
10,0.0,0.0,0.0,0.0,0.07693809394003748,0.934383148942335,0.6286906764152751,0.16095673477991884,0.4632761567252204
11,0.0,0.0,0.0,0.0,0.15637055909266306,0.4808343500350253,0.041438782464931594,0.15468760850587276,1.466382269363692
12,0.0,0.0,0.0,0.0,0.07412006978722122,1.2162632597724459,1.0529328532281963,1.565585422166244,0.010242053705684113
13,0.0,0.0,0.0,0.0,0.03152801594464348,1.3906863604662316,0.4739913558695521,0.4594138846627068,0.25892078151108755
14,0.0,0.0,0.0,0.0,0.04041961254773547,0.9512937775958844,0.2752798825710119,0.46241274833504364,1.8241137567462948
15,0.0,0.0,0.0,0.0,0.19110631506199433,1.2445373486608708,0.42453618346251176,0.18383489724130925,0.7206089342100356
