Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01009351774719708,0.018882437595225347
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.200524893614612,0.4800183501149778
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11282572079002526
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5429877035427583,1.078902300121835
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888893991206614,0.03747711674702343
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07634964913219944,0.031206637589491215
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010364208137379163,0.08641232617139727
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999663987974427,0.05250592739444615
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07224718924322054,0.0216277949546531
