Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2210699586518154,0.060701909699581336
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015113486707726326,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14589681139524335,0.6032992231502471
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011907150449974755,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010166955353004428,0.262708823020278
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013098368260603767,0.028466742243490665
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011749670928136276,0.763844061450761
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168738141930287,0.28426019269408387
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03504043941908504
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1840643969033162,0.022178534291494623
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0455544129625911,0.1474263454620825
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11078579886472963,0.3020384561914965
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11756979388302101,0.03245146658972569
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06627107874359309,0.33270543171570355
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020196649849795974,0.0
