Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06628539179684896
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03375203678740999
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5059904332570263
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010197599726675517
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09670808056859781
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0401868403826661
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17124940749539833
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016990978624156723
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01757915488906736
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010185193312669932
