Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025882562201506105,0.1553137960441807
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0495455521030392,0.29018702468189833
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05463838638328474,0.013737679306213483
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010378482841977968,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43777158844196223,0.01993939740796204
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01261597290631662,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025228698914204473,0.02528398579324011
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08945712753124868
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10422324576566568,0.015773566734714813
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07406814350876764,0.01485260036815133
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013455032021989438,0.061411692505883034
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06980116223041803,0.030965906368494577
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03103772298473575,0.24892196491185772
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07689699953354139,0.012612341473725964
