Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129645560362802
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5606562076778244
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12499723285732299
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18356689762340228
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027302153822954197
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10015562752326279
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22514943630061468
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01350000604884025
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08012897373256779
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024028738224448086
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029889616013072894
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05727481330080862
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1640389249288332
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23477583449572392
