Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061334263471768416
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06379599246460484
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01002986039687142
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5847174098466791
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028584681683292867
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13357924816619926
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010985706440477574
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057178544055821325
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01065916031479782
