Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.06105677823353038,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.1810812776363487,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.010805612751851228,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.07497409600504601,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.017015405267420406,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.027392985653153654,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.012576656409079207,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.05952650454632056,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.29028481046696275,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.07224013173907627,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.013241733753528218,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.1576567907679233,0.0,0.0,0.0,0.0,0.0
