Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04186006976999042
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017404120374460586,0.12155897827246273
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048904411592959135
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052792595135501455
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244328966180751,0.03587197529324389
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026453603940575374,0.05883149258249395
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09464940999678949,0.19577746980732344
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0640145196117899,0.07546394327979757
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04746472514974245
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08490256617203334,0.3211532403161822
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014899773650359228,0.12688818484640035
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03138670098402271
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015374243992240815,0.11549710377775657
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09754700933524872,0.21827353746889527
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02587781891313341,0.5082755717232277
