Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2385315083573716
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013016297948542073
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015275119154470286
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04388868283662813
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010288785714027289
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10802959048319719
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029420124458010274
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0621668401612496
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08019114248699732
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35631876689842257
