Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4171996432561224
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1341371450482202
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6013789084450918
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2129361699097776
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5610549963131264
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2929332374357728
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2348690651461744
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44975675740598875
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37714040904655133
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5765250887663322
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.330485096742142
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20274756733380628
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4413102576024333
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6088171118999371
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2755287233025856
