Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2153925038454319
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1378870059827236
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5127236243570455
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18995688440255132
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11901920874759762
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12881554251051824
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5098259382086012
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28741805273459203
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03991339451864127
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6810313289189635
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33776125449503785
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015538628559737883
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22707117637271856
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32397594623688186
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11430861031081965
