Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01613931363092637,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03185448130060375,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22720555514377422,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013120246055574488,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010401013116461428,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013237576177985688,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014558939944402879,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10022860948906782,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1558099598129797,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02425513381717448,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36000879589972173,0.0
