Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087534907027892
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028702821123877138
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019428756155321084
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13959984148692417
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11094321823715035
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16161406544632417
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013588858205116577
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1692597267389853
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060754215522137334
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059110951728144276
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020404772107259914
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10928959434788428
