Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0460528982016175,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.029250272371538148,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.02036611220188195,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.046865393711689865,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.07044915938187243,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.013210708843827969,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.17344615139679823,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.5133060559356296,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.020640875814666493,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.012089891209064531,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.017241396895563622,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.011257684058043541,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.010160246231638892,0.0,0.0
