Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.2762030294816389,0.0,0.0,0.0,0.0,0.0,0.0789232015473719
2,0.0,0.0,0.015701403874722908,0.0,0.0,0.0,0.0,0.0,0.03984865395262186
3,0.0,0.0,0.027232836186928875,0.0,0.0,0.0,0.0,0.0,0.02053444195853516
4,0.0,0.0,0.020095209138810965,0.0,0.0,0.0,0.0,0.0,0.010806160197303167
5,0.0,0.0,0.014113955729223677,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0910991026042081,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.021355613150901655,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.03343742921325987,0.0,0.0,0.0,0.0,0.0,0.011636651059871661
9,0.0,0.0,0.014034079405338974,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.30750614615360916,0.0,0.0,0.0,0.0,0.0,0.11127276002711432
11,0.0,0.0,0.04955925344331717,0.0,0.0,0.0,0.0,0.0,0.6461086601015794
12,0.0,0.0,0.012283213324131084,0.0,0.0,0.0,0.0,0.0,0.01972630428793241
13,0.0,0.0,0.019444701214094057,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.07734678642790285,0.0,0.0,0.0,0.0,0.0,0.012116983450699989
15,0.0,0.0,0.02058724065191205,0.0,0.0,0.0,0.0,0.0,0.010066773944054868
