Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056598871896406194,0.4553544575122585
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061276917672956586,0.19675031780641797
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02542354743935876,0.0146529583337615
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013623439459117988,0.024212847012897033
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011851052498485922
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029522471558723246,0.15726506507894975
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01689173678233363,0.03837328440488507
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049163747752581206,0.06964890515469682
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026547486516483153
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012113932345166768,0.10713889943881254
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011389245818981437,0.3870758464589139
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07679189202183087,0.4078702213568123
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5163656386461272,0.13254301449137612
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019143654911660535,0.17641102279848694
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09734465324049349,0.7288558969533092
