Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7633126160831856
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061889485756038046
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694631940296909
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03233636813708549
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020657330916125077
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035184204196523836
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05572042573330477
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142325518884942
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0811053054123106
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16602399147287988
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29769074854257915
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14753525155552982
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08772947300842468
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026384563393218475
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015799730782150998
