Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06916786511236357
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15867355843303282
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049997746048582814
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021064008714297495
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03178023321989342
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014599123304434107
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0388960390752432
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3283312688681286
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010401023151535214
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03338586851243945
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036980189615675695
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010857021910585385
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07181635670229482
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11804311707606663
