Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.19802591473385756,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.013115936419118334,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.016157217922647394,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.01647333305086885,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.010737885198014241,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.33770588406343977,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.08854793194267535,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.016052762201465582,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.19533397302433256,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.013794434973325454,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.016604721865359797,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.04951821346938664,0.0,0.0
