Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010263996327732961,0.010262259414594984
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04294173232678283,0.013593689142383328
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014180550217961808,0.2467263097815157
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3311781083624521,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389117820156447,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2724248098694559,0.02706356705571841
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09309002995704005,0.4370049861414895
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02891892005298198,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041429407479097624,0.6734350855346207
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040966169723886,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30138985244642336
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020200383932612316,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07495602824681123,0.030092775798865153
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14686796457077908
