Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010247354857252335,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16038787567965446,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03035388126980836,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01343085264288577,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039534573346224795,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011554353158721666,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39008827645554206,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01324395913979925,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010862251542545975,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10282180292650847,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10155222058431876,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0724256171472583,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02956256282954461,0.0
